,ALTRED COLLECTION DATE,COLLECTION DATE
3527,2014-04-06,04/06/14
3528,2014-04-05,04/05/14
3529,2014-04-05,04/05/14
3530,2014-04-05,04/05/14
3531,2014-04-06,04/06/14
3532,2014-04-06,04/06/14
3533,2014-04-06,04/06/14
3534,2014-04-06,04/06/14
3535,2014-04-06,04/06/14
3536,2014-04-06,04/06/14
3537,2014-01-28,01/28/14
3538,2014-08-16,08/16/14
3539,2014-08-16,08/16/14
3540,2014-08-16,08/16/14
3541,2014-08-16,08/16/14
3542,2014-08-16,08/16/14
3543,2014-08-16,08/16/14
3544,2014-08-16,08/16/14
3545,2014-08-16,08/16/14
3546,2014-08-16,08/16/14
3547,2014-08-16,08/16/14
3548,2014-01-28,01/28/14
3549,2013-09-23,09/23/13
3550,2013-09-23,09/23/13
3551,2013-09-23,09/23/13
3552,2013-09-23,09/23/13
3553,2013-09-23,09/23/13
3554,2013-09-23,09/23/13
3555,2013-09-23,09/23/13
3556,2013-09-23,09/23/13
3557,2013-09-23,09/23/13
3558,2013-09-23,09/23/13
3559,2014-08-14,08/14/14
3560,2014-08-14,08/14/14
3561,2014-08-14,08/14/14
3562,2014-08-14,08/14/14
3563,2014-08-14,08/14/14
3564,2014-08-14,08/14/14
3565,2014-08-14,08/14/14
3566,2014-08-14,08/14/14
3567,2014-08-14,08/14/14
3568,2014-08-14,08/14/14
3569,2014-08-12,08/12/14
3570,2014-08-12,08/12/14
3571,2014-08-12,08/12/14
3572,2014-08-12,08/12/14
3573,2014-08-12,08/12/14
3574,2014-08-12,08/12/14
3575,2014-08-12,08/12/14
3576,2014-08-12,08/12/14
3577,2014-08-12,08/12/14
3578,2014-08-12,08/12/14
3579,2014-01-30,01/30/14
3580,2014-01-30,01/30/14
3581,2014-01-28,01/28/14
3582,2014-01-30,01/30/14
3583,2014-01-28,01/28/14
3584,2014-01-28,01/28/14
3585,2014-01-30,01/30/14
3586,2014-01-30,01/30/14
3587,2014-01-30,01/30/14
3588,2014-01-30,01/30/14
3589,2014-08-21,08/21/14
3590,2014-08-21,08/21/14
3591,2014-08-21,08/21/14
3592,2014-08-21,08/21/14
3593,2014-08-21,08/21/14
3594,2014-08-21,08/21/14
3595,2014-08-21,08/21/14
3596,2014-08-21,08/21/14
3597,2014-08-21,08/21/14
3598,2014-08-21,08/21/14
3599,2014-04-07,04/07/14
3600,2014-04-07,04/07/14
3601,2014-01-28,01/28/14
3602,2014-04-07,04/07/14
3603,2014-04-06,04/06/14
3604,2014-04-06,04/06/14
3605,2014-04-06,04/06/14
3606,2014-04-06,04/06/14
3607,2014-04-05,04/05/14
3608,2014-04-05,04/05/14
3609,2014-04-06,04/06/14
3610,2014-04-06,04/06/14
3611,2014-04-06,04/06/14
3612,2014-04-06,04/06/14
3613,2014-08-12,08/12/14
3614,2014-08-12,08/12/14
3615,2014-08-12,08/12/14
3616,2014-08-12,08/12/14
3617,2014-08-12,08/12/14
3618,2014-08-12,08/12/14
3619,2014-08-12,08/12/14
3620,2014-08-12,08/12/14
3621,2014-08-12,08/12/14
3622,2014-08-12,08/12/14
3623,2014-08-20,08/20/14
3624,2014-08-21,08/21/14
3625,2014-08-20,08/20/14
3626,2014-08-20,08/20/14
3627,2014-08-20,08/20/14
3628,2014-08-20,08/20/14
3629,2014-08-20,08/20/14
3630,2014-08-20,08/20/14
3631,2014-08-21,08/21/14
3632,2014-08-21,08/21/14
3633,2013-10-27,10/27/13
3634,2013-10-27,10/27/13
3635,2013-10-27,10/27/13
3636,2013-10-27,10/27/13
3637,2013-09-23,09/23/13
3638,2013-09-23,09/23/13
3639,2013-09-23,09/23/13
3640,2013-09-23,09/23/13
3641,2013-10-27,10/27/13
3642,2013-10-27,10/27/13
3643,2014-08-16,08/16/14
3644,2014-08-16,08/16/14
3645,2014-08-16,08/16/14
3646,2014-08-16,08/16/14
3647,2014-08-16,08/16/14
3648,2014-08-16,08/16/14
3649,2014-08-16,08/16/14
3650,2014-08-16,08/16/14
3651,2014-08-16,08/16/14
3652,2014-08-16,08/16/14
3653,2014-07-25,07/25/14
3654,2014-07-25,07/25/14
3655,2014-07-24,07/24/14
3656,2014-07-24,07/24/14
3657,2014-07-25,07/25/14
3658,2014-07-25,07/25/14
3659,2014-07-25,07/25/14
3660,2014-07-25,07/25/14
3661,2014-07-25,07/25/14
3662,2014-07-25,07/25/14
3663,2014-07-25,07/25/14
3664,2014-07-25,07/25/14
3665,2014-07-25,07/25/14
3666,2014-07-25,07/25/14
3667,2014-07-25,07/25/14
3668,2014-07-25,07/25/14
3669,2014-07-25,07/25/14
3670,2014-07-25,07/25/14
3671,2014-07-25,07/25/14
3672,2014-07-25,07/25/14
3673,2014-01-26,01/26/14
3674,2014-01-26,01/26/14
3675,2014-01-26,01/26/14
3676,2014-01-26,01/26/14
3677,2014-01-26,01/26/14
3678,2014-01-26,01/26/14
3679,2014-01-28,01/28/14
3680,2014-01-26,01/26/14
3681,2014-04-07,04/07/14
3682,2014-01-28,01/28/14
3683,2014-04-07,04/07/14
3684,2014-04-07,04/07/14
3685,2014-04-07,04/07/14
3686,2014-04-07,04/07/14
3687,2014-04-07,04/07/14
3688,2014-04-07,04/07/14
3689,2014-01-28,01/28/14
3690,2014-01-28,01/28/14
3691,2014-01-28,01/28/14
3692,2014-01-28,01/28/14
3693,2014-01-28,01/28/14
3694,2014-01-28,01/28/14
3695,2014-01-28,01/28/14
3696,2014-01-28,01/28/14
3697,2014-01-28,01/28/14
3698,2014-01-28,01/28/14
3699,2013-09-07,09/07/13
3700,2013-09-07,09/07/13
3701,2013-09-07,09/07/13
3702,2013-09-07,09/07/13
3703,2013-09-07,09/07/13
3704,2013-09-07,09/07/13
3705,2013-09-07,09/07/13
3706,2013-09-07,09/07/13
3707,2013-09-07,09/07/13
3708,2013-09-07,09/07/13
3709,2013-09-07,09/07/13
3710,2013-09-07,09/07/13
3711,2013-09-07,09/07/13
3712,2013-09-07,09/07/13
3713,2013-09-07,09/07/13
3714,2013-09-07,09/07/13
3715,2013-09-07,09/07/13
3716,2013-09-07,09/07/13
3717,2013-09-07,09/07/13
3718,2013-09-07,09/07/13
3719,2014-01-26,01/26/14
3720,2014-01-26,01/26/14
3721,2014-01-26,01/26/14
3722,2014-01-26,01/26/14
3723,2014-01-26,01/26/14
3724,2014-01-26,01/26/14
3725,2013-10-27,10/27/13
3726,2013-10-27,10/27/13
3727,2013-10-27,10/27/13
3728,2013-10-27,10/27/13
3729,2014-04-05,04/05/14
3730,2014-04-05,04/05/14
3731,2014-04-05,04/05/14
3732,2014-04-05,04/05/14
3733,2014-04-05,04/05/14
3734,2014-04-05,04/05/14
3735,2014-04-05,04/05/14
3736,2014-04-05,04/05/14
3737,2014-04-05,04/05/14
3738,2014-04-05,04/05/14
3739,2014-08-14,08/14/14
3740,2014-08-14,08/14/14
3741,2014-08-12,08/12/14
3742,2014-08-12,08/12/14
3743,2014-08-14,08/14/14
3744,2014-08-14,08/14/14
3745,2014-08-12,08/12/14
3746,2014-08-12,08/12/14
3747,2014-08-12,08/12/14
3748,2014-08-12,08/12/14
3749,2014-08-20,08/20/14
3750,2014-08-20,08/20/14
3751,2014-08-20,08/20/14
3752,2014-08-20,08/20/14
3753,2014-08-20,08/20/14
3754,2014-08-16,08/16/14
3755,2014-08-20,08/20/14
3756,2014-08-20,08/20/14
3757,2014-08-20,08/20/14
3758,2014-08-20,08/20/14
3759,2013-09-07,09/07/13
3760,2013-09-07,09/07/13
3761,2013-09-07,09/07/13
3762,2013-09-07,09/07/13
3763,2013-09-08,09/08/13
3764,2013-09-08,09/08/13
3765,2013-09-08,09/08/13
3766,2013-09-07,09/07/13
3767,2013-09-08,09/08/13
3768,2013-09-08,09/08/13
3769,2014-08-14,08/14/14
3770,2014-08-14,08/14/14
3771,2014-08-14,08/14/14
3772,2014-08-14,08/14/14
3773,2014-08-14,08/14/14
3774,2014-08-14,08/14/14
3775,2014-08-14,08/14/14
3776,2014-08-14,08/14/14
3777,2014-08-14,08/14/14
3778,2014-08-14,08/14/14
3779,2014-04-07,04/07/14
3780,2014-04-07,04/07/14
3781,2014-04-07,04/07/14
3782,2014-04-07,04/07/14
3783,2014-07-21,07/21/14
3784,2014-07-21,07/21/14
3785,2014-07-24,07/24/14
3786,2014-07-21,07/21/14
3787,2014-07-24,07/24/14
3788,2014-07-24,07/24/14
3789,2014-07-25,07/25/14
3790,2014-07-25,07/25/14
3791,2014-07-25,07/25/14
